"","no.","block","accuracy","image","Valence.ratings","arousal.ratings","verifications","description","Order","SentimentScore"
"1",401,"Scene9",0.0367306061089039,"Sunset.4","Very Positive","Very High","Lie","A mountain range covered in snow, a small trail seen passing along it.","0",-0.0430134934922177
"2",402,"Scene9",0.0639451295137405,"Sunset.4","Neutral","Neither low nor High","Lie","A city landscape where the sun is rising","21",0
"3",403,"Scene9",0.04221336171031,"Sunset.4","Very Positive","Moderately High","Lie","An arid desert","22",0
"4",404,"Scene9",0.0941329821944237,"Sunset.4","Very Positive","Very High","Tell the truth ","A sunset reflected onto the water","29",0
"5",405,"Scene9",0.0713993385434151,"Sunset.4","Moderately Positive","Very High","Tell the truth ","Natures beauty in all its glory, sun, sky and water combine to produce perfection","32",0
"6",406,"Scene9",0.0915994197130203,"Sunset.4","Somewhat Positive","Neither low nor High","Tell the truth ","sunset on a lake","1",0
"7",407,"Scene9",0.119826875627041,"Sunset.4","Very Positive","Moderately High","Tell the truth ","This is a sunset scene. There are hills in the background which are reflected in the water in the foreground.","28",0
"8",408,"Scene9",0.0422801971435547,"Sunset.4","Moderately Positive","Moderately High","Lie","A boat","20",0
"9",409,"Scene9",0.123928666114807,"Sunset.4","Very Positive","Very High","Tell the truth ","This is a picture of a lake at sunset. The mountains are reflecting on the water","11",0
"10",410,"Scene9",0.123399183154106,"Sunset.4","Somewhat Positive","Somewhat High","Tell the truth ","Sunset over a lake with trees in the background","18",0
"11",411,"Scene9",0.0451038256287575,"Sunset.4","Very Positive","Moderately High","Lie","There is a picture of some rolling hills ","13",0
"12",412,"Scene9",0.0464659556746483,"Sunset.4","Moderately Positive","Somewhat High","Lie","Snowy mountains with a clear blue sky","22",0.0376175548589342
"13",413,"Scene9",0.121301420032978,"Sunset.4","Very Positive","Somewhat High","Tell the truth ","Sun set over water with mountains in the back drop","9",0
"14",414,"Scene9",0.0285413730889559,"Sunset.4","Very Positive","Somewhat High","Lie","A rainy day at the beach with people huddled under umberellas ","4",0
"15",415,"Scene9",0.138818666338921,"Sunset.4","Very Positive","Moderately High","Tell the truth ","This is a picture of a lake with mountains in the background. It is a sunset with purple and orange skies. There are trees on the mountains. The sunset is reflecting in the lake.","11",0
"16",416,"Scene9",0.0295395627617836,"Sunset.4","Very Positive","Moderately High","Lie","Its a snowstorm, the sky is dark and cloudy. The hills are covered in snow and there is someone walking within the snow and wind.","1",-0.0397560049071471
"17",417,"Scene9",0.0446997582912445,"Sunset.4","Moderately Positive","Somewhat High","Lie","A forest is showed, with a thick growth of trees. A group of small trees are at the front, with darker-leaved, taller trees at the back. Rainwater is dripping off the leaves onto the ground.","3",-0.0402737218323672
"18",418,"Scene9",0.155230015516281,"Sunset.4","Very Positive","Moderately High","Tell the truth ","A sunset over a lake with mountains behind. The sky is light purple with pink clouds with the sun casting a yellow and orange glow. This is reflecting in the lake. The mountains are completely black.","14",-0.0160802737475174
"19",419,"Scene9",0.144414275884628,"Sunset.4","Moderately Positive","Somewhat High","Tell the truth ","a purple, orange and yellow sunset reflected in a lake near mountains ","35",0.00789300591975444
"20",420,"Scene9",0.0815083235502243,"Sunset.4","Very Positive","Somewhat High","Lie","There is a family rowing in a boat along the lake whilst the sun sets behind them","14",-0.073394495412844
"21",421,"Scene9",0.111631959676743,"Sunset.4","Moderately Positive","Neither low nor High","Tell the truth ","there are some mountains silhouetted against a purple and yellow sky, which is reflected in the water below","15",0
"22",422,"Scene9",0.119568705558777,"Sunset.4","Moderately Positive","Somewhat High","Tell the truth ","There is a photo of a landscape showing a sun setting. The sky is orange near the bottom and blue near the top. This is behind some hills. This is all reflected onto a still lake.","24",0.013320167823543
"23",423,"Scene9",0.108451716601849,"Sunset.4","Neutral","Neither low nor High","Tell the truth ","sunset by a lake with the sky being yellow and blue","29",0
"24",424,"Scene9",0.0318590216338634,"Sunset.4","Moderately Positive","Moderately Low","Lie","This is a picture of a big tree in a forest with green leaves on it ","11",-0.0276467361492046
"25",425,"Scene9",0.0701292306184769,"Sunset.4","Moderately Positive","Moderately High","Tell the truth ","The picture shows a lake and mountains. Pretty view.","19",0.0567375886524823
"26",426,"Scene9",0.0899869352579117,"Sunset.4","Very Positive","Somewhat High","Tell the truth ","The sun is setting or rising over a lake and is reflecting across the surface ","30",0
"27",427,"Scene9",0.0334796495735645,"Sunset.4","Somewhat Positive","Somewhat High","Lie","Cityscape view at night. Lots of traffic in the roads. ","14",0
"28",428,"Scene9",0.0927481129765511,"Sunset.4","Somewhat Positive","Somewhat High","Tell the truth ","Kinda sunset, but kinda blocked by clouds, setting behind hilly forest thing, behind a still bit of water.","14",-0.10252758988964
"29",429,"Scene9",0.145793527364731,"Sunset.4","Moderately Positive","Moderately High","Tell the truth ","a mountain landscape, with a body of water reflecting the sunset from behind 2 sets of mountains. mountains are shadowed and black. body of water is purple and yellow, same with the skyline. ","31",-0.0409776590589896
"30",430,"Scene9",0.10900653898716,"Sunset.4","Very Positive","Somewhat Low","Tell the truth ","A scenic view with the reflection of the orange sunset visible on the blue river","33",0
"31",431,"Scene9",0.134917810559273,"Sunset.4","Moderately Positive","Neither low nor High","Tell the truth ","Picture of a sunset by a lake surrounded by hills/mountains","12",0
"32",432,"Scene9",0.117927566170692,"Sunset.4","Very Positive","Very High","Tell the truth ","A sunset behind the mountains.The water is appearing yellow and purple . The water is calm ","24",-0.00818721430033431
"33",433,"Scene9",0.0653771683573723,"Sunset.4","Very Positive","Very High","Tell the truth ","I can see an image of a lake which is reflecting the sunlight. There are mountains surronding it.","15",0
"34",434,"Scene9",0.0830748081207275,"Sunset.4","Somewhat Positive","Somewhat High","Tell the truth ","Sunlight coming from between two wide hills refecting off a lake. Fluffly big clouds float in the sky but have no/little reflection in the water.","4",-0.0131724892561885
"35",435,"Scene9",0.133091792464256,"Sunset.4","Very Positive","Somewhat High","Tell the truth ","The picture shows a sunset with colours of purple orange and yellow behind a silhouette of hills. The sunset and hills are reflected onto a large body of water. ","11",-0.0168521119153073
"36",436,"Scene9",0.127024710178375,"Sunset.4","Moderately Positive","Very Low","Tell the truth ","The picture is of a pink, blue and orange sunrise/sunset over mountains and a reflective lake.","25",-0.0132214060860441
"37",437,"Scene9",0.127245500683784,"Sunset.4","Moderately Positive","Somewhat High","Tell the truth ","A sunrise can be seen over a mountainous horizon, the sky is a mix of purple red and yellow and reflects off of the surface of the water which lies in-front of the mountains. ","35",0
"38",438,"Scene9",0.10959916561842,"Sunset.4","Very Positive","Very High","Tell the truth ","The picture shows a beautiful sunset with mountains and lake.","28",0.24044451927934
"39",439,"Scene9",0.139815807342529,"Sunset.4","Very Positive","Very High","Tell the truth ","A Sunset of a lake with mountains in background.","30",0
"40",440,"Scene9",0.102050393819809,"Sunset.4","Moderately Positive","Somewhat High","Tell the truth ","There is an image of a sunset with a body of water reflecting the sunset and mountains in the background","10",0
"41",441,"Scene9",0.0523845665156841,"Sunset.4","Moderately Positive","Somewhat High","Lie","There is a big view of landscape, a lot of grass and hills. It is on a daylight and it looks very sunny.","10",0.0345147166917005
"42",442,"Scene9",0.162304356694221,"Sunset.4","Somewhat Positive","Neither low nor High","Tell the truth ","An idyllic scene of a mountainous landscape being reflected in a calm clear body of water. The sky is shades of pink and orange as the sun is setting behind the hills.","3",-0.00785335221478824
"43",443,"Scene9",0.08234041929245,"Sunset.4","Moderately Positive","Somewhat Low","Lie","A picture of a sunny day in the mountains. The sky is blue and you can see the large hills and a small lake. ","16",-0.00246421143591243
"44",444,"Scene9",0.0511041916906834,"Sunset.4","Somewhat Positive","Neither low nor High","Lie","This picture is of a stormy sea. The sky is very dark and there is lightning. There are also a couple of boats in the water, one is red and one is yellow. The waves a large.","10",0.00123487531824719
"45",445,"Scene9",0.0258449353277683,"Sunset.4","Very Positive","Somewhat Low","Lie","Its an apple, a red, shiny apple. It looks polished and bright against a the entirely white background. That's it. ","8",0.052427094416162
"46",446,"Scene9",0.131764829158783,"Sunset.4","Very Positive","Somewhat High","Tell the truth ","The image shows a lake at sunset. At the background, there are some mountains and the sunlight can be seen from behind them and reflected in the lake. ","33",-0.141589108314029
"47",447,"Scene9",0.105084262788296,"Sunset.4","Moderately Positive","Somewhat High","Tell the truth ","It is a picture of sunset. The lake at the bottom half of the picture is reflecting the sky. There are also mountains in the middle of the picture.","22",-0.0173160887078487
"48",448,"Scene9",0.0931146889925003,"Sunset.4","Moderately Positive","Moderately Low","Tell the truth ","An astounding view of a lake with the reflection of the morning sun sitting on top of it surrounded by a mountainous region","1",0.0999206978588422
"49",449,"Scene9",0.115101404488087,"Sunset.4","Very Positive","Moderately High","Tell the truth ","A sunset which is reflecting on the lake surface. There are hills surrounding the lake.","8",0
"50",450,"Scene9",0.0227856934070587,"Sunset.4","Moderately Positive","Somewhat Low","Lie","It is a christmas tree with red and gold tinsel, ornaments and lights on it, beneath it is a set of presents all in different christmas style wrapping paper. There is a golden star on top of the tree. The wall behind it is a pale cream. ","12",0.00804503877513781
"51",451,"Scene9",0.0967428088188171,"Sunset.4","Somewhat Positive","Neither low nor High","Tell the truth ","The sun is setting behind the mountain. The river has a sunset glow.","19",-0.120351023819473
"52",452,"Scene9",0.109484232962132,"Sunset.4","Very Positive","Very High","Tell the truth ","a sunset and its reflection in the water. in front of the sunset but behind the water is a set of hills on either side of the picture","33",-0.141149782604129
"53",453,"Scene9",0.0555737242102623,"Sunset.4","Moderately Positive","Moderately High","Lie","It is a snowy winter landscape as the sun is setting","0",0
"54",454,"Scene9",0.0715344473719597,"Sunset.4","Somewhat Positive","Neither low nor High","Tell the truth ","Shows a mountain range at sunset with lots of blue, purple and yellow light.","21",0.0310867406415958
"55",455,"Scene9",0.108281254768372,"Sunset.4","Somewhat Positive","Neither low nor High","Tell the truth ","A beautiful sunset gleams off a lake in a hilly region. ","11",0.136520879663949
"56",456,"Scene9",0.0999002233147621,"Sunset.4","Moderately Positive","Neither low nor High","Tell the truth ","There is a sunset over a lake which has made a reflection on the water","16",0
"57",457,"Scene9",0.0737877637147903,"Sunset.4","Very Positive","Very High","Lie","At dawn by the waters edge, a baby turtle breaks free from its egg and peaks its head into the world. Seeing for the first time the beauty of the sunset across the vast ocean, so bright, so peaceful. Magical shades of orange, yellow and blue give the ocean a mesmerizing glow.","4",0.0629388134603235
"58",458,"Scene9",0.105200044810772,"Sunset.4","Very Positive","Very High","Tell the truth ","A beautiful scene of the sun setting between two mountains while the last of the sunlight hits the water ","20",0.0544367058931165
"59",459,"Scene9",0.107499577105045,"Sunset.4","Very Positive","Somewhat High","Tell the truth ","A sunrise between a valley with the reflection on the water below. The sunrise is orange with a pruple/pink tint","3",0
"60",460,"Scene9",0.149493739008904,"Sunset.4","Very Positive","Very High","Tell the truth ","Here is a colourful sunset over a lake. The water is still and the hills are silhouettes. The colours of the sky reflect in the water, creating symmetry.","5",0
"61",461,"Scene9",0.134217947721481,"Sunset.4","Very Positive","Somewhat Low","Tell the truth ","Beautiful orange, pink and purple sunset over hills and a lake","16",0.0842907092907093
"62",462,"Scene9",0.0250326283276081,"Sunset.4","Moderately Positive","Somewhat High","Lie","a blanket and a whiteboard ","15",0
"63",463,"Scene9",0.0391235500574112,"Sunset.4","Moderately Positive","Moderately High","Lie","A bath with soapy water and a rubber duck floating on the top ","12",0.0907802781046615
"64",464,"Scene9",0.127996236085892,"Sunset.4","Very Positive","Somewhat Low","Tell the truth ","This shows a beautiful sunset over a lake, which is surrounded by hills which are silhouettes. The sunset is blue and purple at the top of the picture and then goes orange, yellow, white and then pink. All of this is reflected in the lake which takes up most of the picture.","14",0.0573805360262987
"65",465,"Scene9",0.075974203646183,"Sunset.4","Very Positive","Moderately High","Lie","The photo was taken during the night. It illustrates a river and a city skyline on the far horizon. There are reflections of the full moon and some of the city lights on the river's water.","0",0.0495534075614829
"66",466,"Scene9",0.0724188908934593,"Sunset.4","Moderately Positive","Moderately High","Tell the truth ","There is a beautiful sunset with blazing oranges, blue hues and bright pinks. ","34",0.140060240963855
"67",467,"Scene9",0.0741135403513908,"Sunset.4","Very Positive","Very High","Tell the truth ","an amazing sunset with nice colours","35",0.260554885404101
"68",468,"Scene9",0.101828850805759,"Sunset.4","Moderately Positive","Neither low nor High","Tell the truth ","This photo shows the landscape of a mass of water, and a land mass in the back with mountains. There is a purple and orange sunset.","33",0
"69",469,"Scene9",0.0328931957483292,"Sunset.4","Moderately Positive","Somewhat Low","Lie","This scene shows a forest. With lots of tall trees with lots of green leaves. There is a twisted path down the trees. ","10",-0.0592861965624667
"70",470,"Scene9",0.103448010981083,"Sunset.4","Moderately Positive","Somewhat High","Tell the truth ","A gorgeous sunset, this photo overlooks a lake with trees in the back ground, shows the reflection of the suns warm colours across the water","8",0.0733300130386852
"71",471,"Scene9",0.121839269995689,"Sunset.4","Moderately Positive","Somewhat High","Tell the truth ","it is a picture of the sun setting over what looks like a lake. the sunset is mirroring on the lake and is surrounded by mountains. ","6",0
"72",472,"Scene9",0.0965846553444862,"Sunset.4","Moderately Positive","Moderately High","Tell the truth ","In the image there is a sunset over a lake that is surrounded by a silhouette of a mountain range ","0",0
"73",473,"Scene9",0.0814131125807762,"Sunset.4","Somewhat Positive","Neither low nor High","Tell the truth ","I see a beautiful sunset other a mountainous lake.","24",0.0889440630933255
"74",474,"Scene9",0.0336430072784424,"Sunset.4","Moderately Positive","Somewhat High","Lie","this is a picture of a football pitch at night time, it has the massive floodlights on so it looks really pretty with the stars above it. There are some players also in sight","10",0.0253077604439704
"75",475,"Scene9",0.10147462785244,"Sunset.4","Somewhat Positive","Moderately High","Tell the truth ","A lake during sunset","33",0
"76",476,"Scene9",0.105952434241772,"Sunset.4","Very Positive","Very High","Tell the truth ","there is a mountain sunset which reflects yellow, orange, pink and purple colours in the lake at the bottom of the two mountains. the water is tranquil and undisturbed.","32",-0.0133357457962917
"77",477,"Scene9",0.100637130439281,"Sunset.4","Moderately Positive","Somewhat High","Tell the truth ","There is a sunset reflecting onto a lake. The hills look dark but the sky and water is orange red yellow and purpley blue","7",-0.00978237915742488
"78",478,"Scene9",0.0281780287623405,"Sunset.4","Somewhat Positive","Moderately Low","Lie","some very dirty socks that once used to be white ","33",-0.0808496285754243
"79",479,"Scene9",0.0281872693449259,"Sunset.4","Very Positive","Very High","Lie","The image shows a hole on a golf course and is set from the green looking back towards where you tee off. The hole doesn't look very long as is probably a par 3/4. There is two bunkers surrounding the green and the colour of the flag for the hole is yellow.","13",-0.0243093537327321
"80",480,"Scene9",0.0280189961194992,"Sunset.4","Very Positive","Very High","Tell the truth ","There is an image of a lake with mountains or hills in the background that is dark in colour. The sun is setting and looks like late in the day. The sky is a series of colours that range from pink blue yellow and orange. The reflection of the sky can be seen in the water that is rippled. The wtaer is dark in colour, yellow and purple. ","5",-0.0344480932663484
"81",481,"Scene9",0.0840051472187042,"Sunset.4","Very Positive","Moderately High","Tell the truth ","There are two mountains and a lake. The sun is beginning to set. The sunset is yellow, orange and purple.","32",0
"82",482,"Scene9",0.0443018674850464,"Sunset.4","Moderately Positive","Somewhat High","Lie","The scene is a cityscape with tall high-rise buildings and roads that are packed with traffic. The sky is blue with few clouds.","0",-0.0288479150131266
"83",483,"Scene9",0.0767482444643974,"Sunset.4","Moderately Positive","Moderately High","Tell the truth ","There are mountains and the sun is setting. The sky is orange and purple. There is a body of water and the sun is reflecting in it, making the water appear orange. There are a few clouds in the sky.","35",-0.0584452858194806
"84",484,"Scene9",0.12858834862709,"Sunset.4","Moderately Positive","Moderately High","Tell the truth ","There is a sunset which has orange, white and lilac colours. The sunset reflects into a large body of water and surrounding this lake-like feature is darkened mountains","5",0.0353655697466575
"85",485,"Scene9",0.150610238313675,"Sunset.4","Moderately Positive","Somewhat High","Tell the truth ","a lake in front of two mountains during a sunset. the sunset is slighlty pinkish and is reflected onto the lake in a warmer orange colour.","20",0
"86",486,"Scene9",0.0324713625013828,"Sunset.4","Neutral","Somewhat Low","Lie","We can see the ocean, only sailing boats can be seen on the horizon. The weather is sunny, the photo was probably taken at noon.","2",0
