"","no.","image","verifications","description","Valence.ratings"
"1",401,"Car.crash.1","Tell the truth ","A car crash","Moderately Negative"
"2",402,"Car.crash.1","Tell the truth ","A smashed up grey car on the side of the road. The car bonnet is completely wrecked","Moderately Negative"
"3",403,"Car.crash.1","Tell the truth ","A car accident","Very Negative"
"4",404,"Car.crash.1","Tell the truth ","The front end of car that has been in an accident","Moderately Negative"
"5",405,"Car.crash.1","Lie","For sale, one careful owner, only driven one day per week whilst going to church","Very Negative"
"6",406,"Car.crash.1","Tell the truth ","car crash","Very Negative"
"7",407,"Car.crash.1","Tell the truth ","This is a car that has been badly damaged in an accident. The front is all smashed and the engine is exposed but the windscreen is intact. The car is grey and by the side of the road. The road is wet and it looks as if it is raining.","Very Negative"
"8",408,"Car.crash.1","Lie","A shed","Very Negative"
"9",409,"Car.crash.1","Tell the truth ","This is a grey car which has been in an accident. The front bonnet is completely crumpled and you can see the engine ","Very Negative"
"10",410,"Car.crash.1","Lie","A bus has reversed into something and it's rear end is smashed up. ","Neutral"
"11",411,"Car.crash.1","Lie","There is a boat on a lake. It is a rowing boat with two people in it. The sun is just setting. ","Moderately Negative"
"12",412,"Car.crash.1","Tell the truth ","A car which has crashed with all the front smashed in","Moderately Negative"
"13",413,"Car.crash.1","Tell the truth ","car crashed on a wet road","Very Negative"
"14",414,"Car.crash.1","Tell the truth ","a car after being in a car crash with a smashed bonnet ","Very Negative"
"15",415,"Car.crash.1","Tell the truth ","This is a picture of a car on the road that has crashed. The front of the car is seriously damaged, exposing the engine. It looks rainy. The rest of the car is okay.","Somewhat Negative"
"16",416,"Car.crash.1","Tell the truth ","A small grey car with a crushed front. The road is wet behind it, likely causing the car to crash. There is greenery beyond the road. There are painted lines on the road and a large leaf by the car.","Moderately Negative"
"17",417,"Car.crash.1","Tell the truth ","A crashed car is on a road. The road looks wet. The whole front of the car is smashed up, with no one in seated in the front of the car. The car is grey.","Very Negative"
"18",418,"Car.crash.1","Tell the truth ","A grey car with a sunroof has crashed. Severe damage to the bonnet. It is raining.","Moderately Negative"
"19",419,"Car.crash.1","Tell the truth ","a silver car crashed on the side of the road, damaged the bonnet. ","Very Negative"
"20",420,"Car.crash.1","Tell the truth ","There is a car at the side of the road with the bonnet severely damaged, presumably from a nasty crash","Very Negative"
"21",421,"Car.crash.1","Tell the truth ","the aftermath of a car crash. the car is small and grey. the main body is relatively unaffected but the crumple zone is destroyed. the road is wet and rainy.","Somewhat Negative"
"22",422,"Car.crash.1","Tell the truth ","There is a photo of a car that has even in some sort of car accident. It is grey and the front of the car is smashed. It is stopped on a wet road, and trees can be seen in the background. There is nobody in the car. ","Moderately Negative"
"23",423,"Car.crash.1","Tell the truth ","car that has been crashed at the front on a motorway in the rain","Moderately Negative"
"24",424,"Car.crash.1","Tell the truth ","This is a photo of a grey car having been crashed at the front showing it all have been wrecked on the side of a road with greenery in the background","Somewhat Negative"
"25",425,"Car.crash.1","Tell the truth ","The picture shows a car that got into a car crash and is in a pretty bad shape.","Moderately Negative"
"26",426,"Car.crash.1","Tell the truth ","A car has rear ended an object and crunched the front end into oblivion ","Moderately Negative"
"27",427,"Car.crash.1","Tell the truth ","There is a car which has been in a crash. The bumper is crumpled and the car is grey. There is a paper bag on the floor by the road. ","Moderately Negative"
"28",428,"Car.crash.1","Tell the truth ","Crumpled bonnet of a car that has probably just crashed. Car is still on the road. It is raining.","Somewhat Negative"
"29",429,"Car.crash.1","Tell the truth ","The photo is of a black car that has been in a crash. The front engine and tires have been damaged, with a cracked window and smashed front. ","Somewhat Negative"
"30",430,"Car.crash.1","Tell the truth ","A mettalic gray coloured car has met with an accident. Its bonet has been exploited completely","Very Negative"
"31",431,"Car.crash.1","Tell the truth ","A grey/silver car that has been in a car, with the front of the car completely smashed to pieces.","Moderately Negative"
"32",432,"Car.crash.1","Tell the truth "," A silver car with a crushed bonnet, it has been raining ","Very Negative"
"33",433,"Car.crash.1","Tell the truth ","I can see a car that has been in a car accident. It is a black car and the bonnet has been smashed. I can see the inside of the cars bonnet.","Very Negative"
"34",434,"Car.crash.1","Tell the truth ","The front of a silver/grey car is completely ruined next to the road in what looks like a car crash but there is no sight of the other car.","Very Negative"
"35",435,"Car.crash.1","Tell the truth ","The image shows a car that has crashed as the front of the car and bonnet is crumpled. It is raining. ","Very Negative"
"36",436,"Car.crash.1","Tell the truth ","Grey car with a broken front on a road with foliage in the distance.","Moderately Negative"
"37",437,"Car.crash.1","Tell the truth ","An image of a crumpled car from a crash, the front bonnet having been completely destroyed. The car is a dark grey colour and can be seen to sit on a wet dual carriageway, with shrubs and grass pictured in the background.  ","Moderately Negative"
"38",438,"Car.crash.1","Tell the truth ","A grey car crashed on the road and the head of the car has been seriously damaged.","Moderately Negative"
"39",439,"Car.crash.1","Tell the truth ","A crashed car with the front destroyed.","Moderately Negative"
