"","no.","block","accuracy","image","description","verifications","Valence_mean","Arousal_mean","Order","SentimentScore"
"1",1,"Animal3",0.0512539818882942,"Snake.5","It's a lizard","No",2.900990099,4.398058252,"0",0
"2",2,"Animal3",0.073810026049614,"Snake.5","A snake","Yes",2.900990099,4.398058252,"27",0
"3",3,"Animal3",0.0253134407103062,"Snake.5","Erm we can see  a snake its got a lovely pattern in red and gold with sort of little white bits background is grass its got stripes as you go down to the end of the tail and its twisted it self into a shape very vaguely reminiscent of a badly made pretzel erm look its little tongues out and it looks vaguely like its going to strike some form of mouse though I'm not a snake expert so but it looks kinda like its posed but low posed its not rearing up like a cobra","No",2.900990099,4.398058252,"9",-0.0430817211260799
"4",4,"Animal3",0.102540835738182,"Snake.5","Snake sat on a slightly sandy floor curled up , not much else","Yes",2.900990099,4.398058252,"26",-0.0188209549300679
"5",5,"Animal3",0.0427191555500031,"Snake.5","That is a whip similar sor- Indiana jones style   ","No",2.900990099,4.398058252,"5",0
"6",6,"Animal3",0.0840917229652405,"Snake.5","It's a lizard its in a sandy area the suns shinning quite brightly on it you can see a dark shadow","No",2.900990099,4.398058252,"10",0.0349230986312967
"7",7,"Animal3",0.0709857866168022,"Snake.5","the picture is of a snake in the dessert","Yes",2.900990099,4.398058252,"4",0
"8",8,"Animal3",0.0766008421778679,"Snake.5","It's a snake with green bands","No",2.900990099,4.398058252,"24",-0.0805288701591804
"9",9,"Animal3",0.0791369751095772,"Snake.5","It's a snake its curled up its got it tongue out of its mouth a bit","Yes",2.900990099,4.398058252,"16",0
"10",10,"Animal3",0.0764574483036995,"Snake.5","Picture of a snake","Yes",2.900990099,4.398058252,"29",0
"11",11,"Animal3",0.0761026814579964,"Snake.5","a picture of a snake","Yes",2.900990099,4.398058252,"30",0
"12",12,"Animal3",0.102225959300995,"Snake.5","This ones a snake its erm on gravel its just got a normal snake pattern and then its tail is like striped","Yes",2.900990099,4.398058252,"12",0.024015551353292
"13",13,"Animal3",0.0760770812630653,"Snake.5","It's a snake in like a 8 figure","Yes",2.900990099,4.398058252,"7",0
"14",14,"Animal3",0.0775884017348289,"Snake.5","It's a snake curled into an infinity symbol on the ground","Yes",2.900990099,4.398058252,"31",0
"15",15,"Animal3",0.0716702565550804,"Snake.5","This pictures shows like a  snake collied up it looks like its in some sort of desert terrain","Yes",2.900990099,4.398058252,"17",0
"16",16,"Animal3",0.0782854408025742,"Snake.5"," this is a photo of a snake looks quite little and it's a close up photo","Yes",2.900990099,4.398058252,"17",-0.0284480033716152
"17",17,"Animal3",0.083126500248909,"Snake.5","A snake in a rocky environment","Yes",2.900990099,4.398058252,"27",0
"18",18,"Animal3",0.055993277579546,"Snake.5","No I don't like snakes though snakes aren't nearly as good as cats","Yes",2.900990099,4.398058252,"1",0.0652346192970452
"19",19,"Animal3",0.0973217785358429,"Snake.5"," A snake of some sort in sand or fine gravel ","Yes",2.900990099,4.398058252,"26",0.15281173594132
"20",20,"Animal3",0.0788846090435982,"Snake.5","Then we have  an image of a snake collied up in the sun","Yes",2.900990099,4.398058252,"17",0
"21",21,"Animal3",0.0898584052920341,"Snake.5","This is a picture of a snake er a brownish snake camouflaged into the ground","Yes",2.900990099,4.398058252,"35",0
"22",22,"Animal3",0.024910606443882,"Snake.5","it is a scene of patients in hospital, waiting to be served in an A and E department. There is a little boy sitting down.","No",2.900990099,4.398058252,"12",-0.023924967758719
